_step,lm_eval/hellaswag/primary,lm_eval/lambada_openai/primary,lm_eval/arc_easy/primary,lm_eval/arc_challenge/primary,lm_eval/piqa/primary,lm_eval/sciq/primary,lm_eval/openbookqa/primary,lm_eval/boolq/primary,lm_eval/copa/primary,lm_eval/commonsense_qa/primary
20012,0.4335789683330014,0.3104987385988744,0.5740740740740741,0.3011945392491467,0.6947769314472253,0.883,0.356,0.5737003058103975,0.66,0.2645372645372645
40025,0.462158932483569,0.3289346012031826,0.5808080808080808,0.3208191126279863,0.6996735582154516,0.882,0.358,0.6042813455657492,0.66,0.2153972153972154
60038,0.4673371838279227,0.3333980205705414,0.6102693602693603,0.3284982935153583,0.7105549510337323,0.894,0.35,0.6269113149847095,0.67,0.2211302211302211
80051,0.4720175263891655,0.3863768678439744,0.5900673400673401,0.333617747440273,0.7083786724700761,0.896,0.352,0.5211009174311927,0.7,0.253071253071253
100064,0.4778928500298745,0.3644478944304288,0.6005892255892256,0.3216723549488055,0.7149075081610446,0.916,0.346,0.5015290519877675,0.67,0.2178542178542178
120077,0.4780920135431189,0.3902581020764603,0.6081649831649831,0.3310580204778157,0.719804134929271,0.912,0.358,0.6082568807339449,0.68,0.2145782145782145
140090,0.4854610635331607,0.3706578692024063,0.6136363636363636,0.3353242320819112,0.7094668117519043,0.902,0.354,0.6021406727828746,0.66,0.2620802620802621
160103,0.4808803027285401,0.397244323694935,0.5900673400673401,0.3404436860068259,0.7110990206746464,0.914,0.356,0.6107033639143731,0.69,0.253071253071253
180116,0.4828719378609838,0.3735687948767708,0.5968013468013468,0.3302047781569966,0.7138193688792165,0.893,0.358,0.5596330275229358,0.72,0.1998361998361998
200129,0.4849631547500498,0.3650300795653017,0.61489898989899,0.3387372013651877,0.7143634385201306,0.901,0.368,0.5984709480122324,0.7,0.2227682227682227
220142,0.4855606452897829,0.363865709295556,0.6165824915824916,0.3481228668941979,0.7110990206746464,0.908,0.38,0.6021406727828746,0.7,0.1932841932841932
240155,0.4862577175861382,0.3925868426159519,0.6115319865319865,0.3455631399317406,0.720892274211099,0.891,0.362,0.5602446483180428,0.74,0.2137592137592137
260168,0.4858593905596495,0.3859887444207258,0.6123737373737373,0.3395904436860068,0.7176278563656148,0.905,0.354,0.6036697247706422,0.71,0.1949221949221949
280181,0.4879506074487154,0.3778381525325053,0.6220538720538721,0.3506825938566553,0.719260065288357,0.904,0.36,0.6003058103975535,0.68,0.2096642096642096
300194,0.4870543716391157,0.3491170192121094,0.6153198653198653,0.3549488054607508,0.7225244831338411,0.905,0.362,0.6113149847094801,0.7,0.2293202293202293
320207,0.4931288587930691,0.349505142635358,0.6102693602693603,0.3395904436860068,0.719804134929271,0.898,0.346,0.5590214067278287,0.7,0.2063882063882063
340220,0.4908384783907588,0.3786143993790025,0.6191077441077442,0.3378839590443686,0.7236126224156693,0.894,0.364,0.5825688073394495,0.7,0.1932841932841932
360233,0.4884485162318263,0.3584319813700757,0.6283670033670034,0.3430034129692833,0.719260065288357,0.913,0.366,0.591131498470948,0.63,0.1891891891891892
380246,0.4898426608245369,0.3809431399184941,0.6153198653198653,0.3455631399317406,0.719260065288357,0.908,0.358,0.5443425076452599,0.7,0.2244062244062244
400259,0.4915355506871141,0.3669706966815447,0.6220538720538721,0.3498293515358361,0.7268770402611534,0.898,0.372,0.5782874617737003,0.72,0.2186732186732186
420272,0.4939255128460466,0.3749272268581409,0.6106902356902357,0.3412969283276451,0.7306855277475517,0.892,0.368,0.6174311926605505,0.73,0.2047502047502047
440285,0.4946225851424019,0.3892877935183388,0.6220538720538721,0.3481228668941979,0.7241566920565833,0.913,0.358,0.5669724770642202,0.7,0.2203112203112203
460298,0.4950209121688906,0.3962740151368135,0.625,0.3549488054607508,0.720892274211099,0.895,0.366,0.5840978593272171,0.7,0.2416052416052416
480311,0.4928301135232025,0.3933630894624491,0.6178451178451179,0.3370307167235495,0.721436343852013,0.914,0.362,0.6290519877675841,0.67,0.1949221949221949
500324,0.4902409878510257,0.3832718804579856,0.6199494949494949,0.3412969283276451,0.7159956474428727,0.898,0.356,0.6296636085626911,0.73,0.199017199017199
520337,0.4922326229834694,0.3691053755094119,0.6157407407407407,0.3532423208191126,0.7247007616974973,0.911,0.372,0.6238532110091743,0.72,0.1924651924651924
540350,0.4971121290579566,0.3692994372210363,0.6014309764309764,0.3472696245733788,0.7225244831338411,0.891,0.356,0.6165137614678899,0.69,0.2399672399672399
560363,0.4970125473013344,0.4189792353968562,0.6220538720538721,0.3540955631399317,0.7306855277475517,0.904,0.35,0.6220183486238532,0.72,0.2211302211302211
580376,0.4941246763592909,0.392004657481079,0.617003367003367,0.348976109215017,0.7154515778019587,0.909,0.366,0.5840978593272171,0.74,0.2268632268632268
600389,0.4958175662218682,0.3875412381137201,0.6220538720538721,0.3421501706484641,0.7257889009793254,0.897,0.372,0.5902140672782875,0.73,0.2522522522522522
620402,0.4929296952798247,0.4036483601785368,0.6367845117845118,0.3592150170648464,0.7268770402611534,0.899,0.372,0.5691131498470948,0.73,0.1998361998361998
640415,0.5017924716191994,0.4030661750436639,0.6321548821548821,0.3523890784982935,0.721436343852013,0.906,0.368,0.5749235474006116,0.72,0.2121212121212121
660428,0.518621788488349,0.3931690277508247,0.6296296296296297,0.3677474402730375,0.7257889009793254,0.906,0.362,0.6137614678899083,0.74,0.2211302211302211
